$\ell$,"$\mathrm{TiOT}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.2}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.5}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.8}(x^{(\ell)}, x^{(0)})$"
70,0.6681342993014892,0.5009400745647469,0.6665224930713558,0.49438430321309573
71,0.6716698282434502,0.505458732445868,0.6697338886787931,0.49552817269833194
72,0.6761068659162165,0.5105072815923045,0.673935011331267,0.49732680477051255
73,0.6800865826200506,0.51533748645969,0.6776392240617186,0.49882792793439823
74,0.6829228820463502,0.5195348338901472,0.6802002949282427,0.49959586448762316
75,0.6868834259099593,0.524738608005445,0.6837691331480511,0.5009922599340986
76,0.689269269501226,0.5288627103985989,0.6858033260949218,0.501111974122069
77,0.6917504002204177,0.5330241062702595,0.6878047062173753,0.5014070850280957
78,0.6952119351409071,0.5377598521994142,0.6908047511672426,0.502394502042396
79,0.6963822022531966,0.5408336608157479,0.69150762348557,0.5022165883337478
80,0.6992287674935244,0.5451504473313596,0.6938841346028572,0.5028921399377565
81,0.7011285958918639,0.5488922764858009,0.6952863770513444,0.5029613575372711
82,0.7027487890648666,0.552327560254976,0.6963196981554122,0.5029608904087245
83,0.7046173206467922,0.5558293181494577,0.6976537548411563,0.5031177345899326
84,0.7072401434996589,0.5601094152938482,0.6997780324752376,0.5034866761251975
85,0.7095980465023296,0.5641418513684006,0.701639640706937,0.503691278581247
86,0.7133057935320679,0.5693745834683245,0.7048034933651159,0.5047920498786952
87,0.7163940457321395,0.5741143377753004,0.7073163756448024,0.5054782703096414
88,0.7198696768002899,0.5790814858109663,0.7099237163237899,0.5062041718583958
89,0.7227186198128878,0.5835884082197776,0.712168069158475,0.5068701423228014
90,0.7258054802773645,0.5882541757584379,0.7144991195550846,0.5076471837374315
91,0.7279605651329125,0.5922097323340865,0.7159197524037941,0.5078366732864463
92,0.7299384731085665,0.5960357335558523,0.7171541640449074,0.5077243679908621
93,0.7317916370861745,0.5997814091695883,0.7182934745320052,0.5077349954858579
