$\ell$,"$\mathrm{TiOT}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.2}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.5}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.8}(x^{(\ell)}, x^{(0)})$"
38,0.21261513566894716,0.09658754821973363,0.20449737645336147,0.149591051551669
39,0.22134061155784532,0.1010670058889561,0.2133789938785432,0.15407977225919076
40,0.22962213291561825,0.1053775780706272,0.22173948200933638,0.1582250808984545
41,0.23809696417557072,0.10977428971363878,0.23045774517242976,0.16247475407695197
42,0.2463043925679141,0.1142160849854195,0.23898652324679354,0.16650069736645956
43,0.2548925508243508,0.11887052482404378,0.24800606243449183,0.17074333662802832
44,0.2629012408821124,0.12344005267157332,0.2567285843100241,0.17447293677333103
45,0.27061189529753105,0.12776924907443044,0.265103025284814,0.17831089601071629
46,0.27769874858795746,0.13172401306842216,0.2727791650676097,0.18179218523160226
47,0.2869395038776375,0.13681994528225852,0.2826604061444978,0.18614364452480883
48,0.2965741384385639,0.14230719740628145,0.2931139198595858,0.19059771124927005
49,0.30527363282673553,0.1474871741376056,0.3024878547536925,0.1944093664125527
50,0.3140544524523601,0.15271213065841277,0.31181663136396315,0.19828297147299964
51,0.32177215266390424,0.15762633028692077,0.31999200954435025,0.20146803003247898
52,0.3284636931308999,0.16198373231032748,0.32697767747997275,0.20395763478172163
53,0.33503891216116216,0.16629602778599342,0.3337954351526464,0.2063256658037778
54,0.343063639930662,0.17149056306244023,0.3421206773799268,0.20950713774728094
55,0.35154173284423557,0.176877510049016,0.35073872897887276,0.2128917132431485
56,0.35980262007591685,0.18246457127926402,0.3591911235165604,0.21609720593256504
57,0.3674223072867641,0.18788941105317747,0.3669668482739228,0.21893919608488685
58,0.37354217024676334,0.19252980876282527,0.3732602971390683,0.2209099920646323
59,0.38074118885470676,0.19738560053057963,0.38061982760487784,0.22373739120738284
60,0.3892620182022302,0.20306745842377613,0.38917359342994884,0.22717025710571623
61,0.3968068706187154,0.2082823126501872,0.39680646134605974,0.2300718667108001
62,0.40417984251845784,0.21356910781422608,0.4040320607531217,0.23264574985566933
63,0.41230850303135363,0.21961759117967383,0.41202918352515444,0.2357455331529697
64,0.41848870453738163,0.2247257473477383,0.41803189281568015,0.23764489819817838
65,0.4249581253017075,0.22979408623970218,0.4242524409411046,0.23971779642599428
66,0.43002430460677626,0.23413747395663687,0.429114460709671,0.24104025439175372
67,0.4343645995790937,0.23837358060829686,0.43319026498557917,0.24202165612238052
68,0.43737451410717865,0.24210139212650203,0.4359028414959663,0.24248939496008604
69,0.4421761622657431,0.24661003945425858,0.44040887841474213,0.24359708922534531
70,0.4464034419030919,0.25094095830493424,0.44425223377005557,0.2444158392634982
71,0.45114035817258596,0.25548853020578366,0.4485434816448181,0.24554816993774795
72,0.45712049413904887,0.2606176845587645,0.454188399498075,0.24733395074324752
73,0.46251775985981897,0.2655727249505912,0.45919491798696815,0.24882930168732523
74,0.46638366282249316,0.2699164436252629,0.46267244122046847,0.2495960278131355
75,0.47180884078980256,0.27535060673149214,0.46754022744603735,0.2509932445138754
76,0.4750921258787538,0.27969576645015237,0.4703262020828576,0.25111321060851716
77,0.47851861620510805,0.2841146978652089,0.47307531389477,0.25140906491637205
78,0.4833196347623647,0.2891856586375358,0.477211204235236,0.25240023568242714
79,0.48494817161501197,0.29250104867136345,0.4781827933386609,0.25222150159758916
80,0.48892086929051315,0.2971890102255815,0.4814751922535561,0.2529005044111761
81,0.4915813079772967,0.30128273118576493,0.48342314611318443,0.25297012717573475
82,0.4938558605321363,0.30506573381721414,0.48486112203924436,0.25296965728073706
83,0.49648556855546444,0.30894623091449114,0.4867207616439642,0.2531274548589058
84,0.5001886205774182,0.31372255710081653,0.48968929473491485,0.2534988330355995
85,0.5035293875999223,0.3182560284653665,0.49229818541135967,0.25370490411881136
86,0.5088051550864131,0.324187416299728,0.4967479642596711,0.2548150136207351
87,0.5132204287604628,0.3296072728391717,0.5002964552552993,0.2555082817552269
88,0.5182123515765538,0.33533536720903645,0.503991682998981,0.25624266360684445
89,0.5223222034242454,0.34057543020849385,0.5071833587289104,0.2569173411783369
90,0.5267935952006557,0.3460429752972391,0.5105089918449911,0.2577056631565455
91,0.5299265843886294,0.3507123670712104,0.5125410918819099,0.25789808673464487
92,0.5328101745240655,0.35525859567546303,0.5143100950069499,0.2577840338517203
93,0.5355190001092632,0.3597377387854572,0.5159455155552604,0.2577948256410241
94,0.5389946424901433,0.364773405755365,0.5183407253194012,0.25800533163057393
95,0.5415378343876457,0.36927709678588055,0.5199052207295095,0.2577834998911424
96,0.5436064903830282,0.3734882308820615,0.5210555408655737,0.25737230363834274
97,0.5443287719601994,0.3768176539927555,0.5205753470812564,0.25624467209672375
98,0.5455655352354919,0.3804310763746665,0.5206149172538778,0.2555387062543784
99,0.5460712265982927,0.38357194421642493,0.5198986888372598,0.2545669858652418
100,0.5465601851102618,0.38674776695242186,0.5190944551154283,0.25349553868136104
101,0.5467908485905554,0.38979464915492296,0.5179981295073381,0.2521617803424772
102,0.5475736900058309,0.3931784269873402,0.5173619103038156,0.2509606699767052
103,0.5480347307509655,0.3963772008207086,0.5163607868743345,0.24982804988021529
104,0.5494303457605668,0.40022264125433427,0.5162592804353052,0.24901090517112617
105,0.5507014235064556,0.4039714804376476,0.5160231674964144,0.2480900754507216
106,0.5502307084089226,0.40670478080913947,0.5143795886117358,0.24681735835093888
107,0.5513860849538365,0.4103213725796665,0.5138942372876689,0.2459881335398187
108,0.5521743524326144,0.4134391751774694,0.5131351383901352,0.245241202581698
109,0.5539765816356965,0.41737993721459693,0.5133108103507178,0.24484943186117844
110,0.5543756756850825,0.42046131203028403,0.5121835875988722,0.24381209182385258
